Agency,Cntyfip,Circumstance,MSA,Number of Records,Solved,Source,State,Vic Age,Vic Race,Vic Sex,Weapon,Year
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,16,Black,Male,"Handgun - pistol, revolver, etc",2009
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",2009
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,22,Black,Male,"Handgun - pistol, revolver, etc",2009
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",1988
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1988
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,27,Black,Male,"Handgun - pistol, revolver, etc",2011
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,58,Black,Male,"Handgun - pistol, revolver, etc",2011
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,17,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2012
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",1999
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,14,Black,Male,Rifle,2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,Rifle,2008
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,45,Black,Male,Rifle,2008
Baltimore,"Baltimore city, MD",Arson,"Baltimore-Towson, MD",1,No,FBI,Maryland,2,Black,Male,Fire,1993
Baltimore,"Baltimore city, MD",Arson,"Baltimore-Towson, MD",1,No,FBI,Maryland,4,Black,Male,Fire,1993
Baltimore,"Baltimore city, MD",Arson,"Baltimore-Towson, MD",1,No,FBI,Maryland,5,Black,Male,Fire,1993
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,48,Black,Male,"Handgun - pistol, revolver, etc",2000
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,40,Black,Male,"Handgun - pistol, revolver, etc",2002
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,51,Black,Male,"Handgun - pistol, revolver, etc",2002
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,21,Black,Male,"Handgun - pistol, revolver, etc",2006
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",2006
Seat Pleasant,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,20,Black,Male,"Handgun - pistol, revolver, etc",2004
Baltimore,"Baltimore city, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,16,Black,Male,"Handgun - pistol, revolver, etc",2006
